epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.59715,1.20881,3.79479,1.2763,0.00291,0.34409,0.2223,0.19501,0.53972,3.44697,0.76268,0.00010003,0.00010003,0.00010003
2,9.22706,0.95323,3.08964,1.05766,0.00296,0.34409,0.33175,0.30302,0.54976,3.38767,0.72024,0.000212228,0.000212228,0.000212228
3,12.6627,0.92662,2.35162,1.01805,0.00285,0.33333,0.33167,0.28092,0.70607,3.35776,0.79768,0.000322162,0.000322162,0.000322162
4,15.9869,0.90873,1.74822,1.02389,0.00509,0.51613,0.32397,0.25615,0.88162,3.43227,0.9843,0.000429833,0.000429833,0.000429833
5,19.2857,0.87486,1.3689,1.00557,0.00445,0.46237,0.32327,0.24422,0.88902,3.49328,0.96384,0.000535241,0.000535241,0.000535241
6,22.6799,0.86295,1.29794,1.02549,1,0.05838,0.31726,0.27511,0.82428,3.42066,0.9053,0.000638384,0.000638384,0.000638384
7,26.0216,0.8008,1.10171,0.96062,1,0.27572,0.33061,0.27238,0.70539,3.03826,0.82594,0.000739265,0.000739265,0.000739265
8,29.4618,0.79637,1.07109,0.95368,0.98908,0.31747,0.32716,0.27808,0.66606,2.88462,0.80473,0.000837881,0.000837881,0.000837881
9,32.7297,0.79356,1.06047,0.97415,0.98445,0.33333,0.33475,0.26911,0.70269,2.7149,0.81695,0.000934234,0.000934234,0.000934234
10,35.9412,0.80462,1.01061,0.97161,0.98915,0.31956,0.44242,0.37555,0.66952,2.56629,0.80834,0.00102832,0.00102832,0.00102832
11,39.2442,0.81849,1.05807,0.96052,0.92676,0.33333,0.89739,0.74577,0.69285,2.35989,0.80599,0.00112015,0.00112015,0.00112015
12,42.5334,0.80193,0.98165,0.96219,0.92748,0.38281,0.97862,0.81468,0.62436,1.93505,0.79348,0.00120971,0.00120971,0.00120971
13,45.8042,0.79595,0.97854,0.97565,0.83722,0.59008,0.97919,0.80114,0.59091,1.71742,0.78731,0.00125923,0.00125923,0.00125923
14,49.2051,0.79484,0.95941,0.97698,0.76093,0.93652,0.99353,0.82015,0.57377,1.50764,0.80255,0.00124509,0.00124509,0.00124509
15,52.5261,0.737,0.89989,0.94102,0.76765,0.93743,0.99312,0.83052,0.59584,1.36696,0.79304,0.00123094,0.00123094,0.00123094
16,55.775,0.76337,0.93803,0.96987,0.88996,0.95064,0.99271,0.81976,0.70757,1.11782,0.81594,0.00121679,0.00121679,0.00121679
17,59.074,0.79443,0.90346,0.94387,0.87648,0.94181,0.995,0.81307,0.7713,1.24237,0.84344,0.00120265,0.00120265,0.00120265
18,62.1929,0.72506,0.88866,0.94961,0.81893,0.99653,0.99439,0.83136,0.61415,1.00961,0.78545,0.0011885,0.0011885,0.0011885
19,65.4316,0.69382,0.8817,0.95279,0.81642,0.99445,0.98628,0.8296,0.60054,0.94096,0.78152,0.00117435,0.00117435,0.00117435
20,68.7291,0.69849,0.84273,0.93608,0.81153,1,0.99235,0.85118,0.58718,0.91024,0.77719,0.00116021,0.00116021,0.00116021
21,71.9504,0.68063,0.84161,0.92688,0.98768,0.99381,0.995,0.85242,0.5639,0.71004,0.77137,0.00114606,0.00114606,0.00114606
22,75.0222,0.68018,0.79686,0.91521,0.98316,0.99869,0.995,0.85311,0.52956,0.75061,0.76194,0.00113191,0.00113191,0.00113191
23,78.1144,0.67967,0.87068,0.94084,0.97025,0.99597,0.995,0.83891,0.59064,0.73362,0.76197,0.00111776,0.00111776,0.00111776
24,81.2263,0.67546,0.82697,0.92057,0.96723,1,0.99469,0.84318,0.54287,0.6417,0.75552,0.00110362,0.00110362,0.00110362
25,84.5556,0.73948,0.86562,0.95162,0.95002,0.97682,0.99469,0.842,0.54405,0.70606,0.7581,0.00108947,0.00108947,0.00108947
26,87.779,0.69428,0.79986,0.93656,0.95171,0.97089,0.99379,0.84792,0.52623,0.69861,0.75471,0.00107532,0.00107532,0.00107532
27,90.9614,0.6679,0.75766,0.91937,0.94521,0.9787,0.99408,0.84681,0.52508,0.6562,0.75617,0.00106118,0.00106118,0.00106118
28,94.1984,0.66563,0.77463,0.91886,0.95841,0.96758,0.99469,0.86263,0.56046,0.59248,0.78477,0.00104703,0.00104703,0.00104703
29,97.3802,0.67274,0.79036,0.94384,0.9851,0.9893,0.995,0.85828,0.52181,0.58675,0.77045,0.00103288,0.00103288,0.00103288
30,100.431,0.66778,0.75555,0.94257,0.97004,1,0.995,0.86949,0.48471,0.58016,0.75941,0.00101873,0.00101873,0.00101873
31,103.394,0.64654,0.71592,0.90936,0.99229,1,0.995,0.87024,0.46357,0.52681,0.75101,0.00100459,0.00100459,0.00100459
32,106.323,0.64579,0.697,0.92845,0.99239,1,0.995,0.88072,0.47328,0.50679,0.7518,0.00099044,0.00099044,0.00099044
33,109.398,0.63203,0.70441,0.92992,0.99217,1,0.995,0.86777,0.55129,0.52588,0.77074,0.000976293,0.000976293,0.000976293
34,112.296,0.64414,0.69371,0.91823,0.98829,1,0.995,0.8674,0.54804,0.52281,0.76915,0.000962146,0.000962146,0.000962146
35,115.227,0.65981,0.73558,0.9507,0.99121,1,0.995,0.85688,0.57824,0.51669,0.77403,0.000947999,0.000947999,0.000947999
36,118.235,0.65949,0.67979,0.90319,0.99579,1,0.995,0.86461,0.58057,0.54569,0.7753,0.000933851,0.000933851,0.000933851
37,121.375,0.66156,0.69128,0.92515,0.9965,1,0.995,0.87397,0.52477,0.51152,0.76673,0.000919704,0.000919704,0.000919704
38,125.017,0.62545,0.695,0.92036,0.99376,1,0.995,0.88545,0.48606,0.49717,0.7481,0.000905557,0.000905557,0.000905557
39,128.237,0.60475,0.63682,0.90277,0.98903,1,0.995,0.87542,0.51715,0.53354,0.75555,0.00089141,0.00089141,0.00089141
40,131.674,0.64122,0.67525,0.91931,0.98859,1,0.995,0.87515,0.5188,0.52841,0.7613,0.000877263,0.000877263,0.000877263
41,135.454,0.60068,0.62006,0.90624,0.98915,0.99892,0.995,0.86861,0.48808,0.4694,0.752,0.000863116,0.000863116,0.000863116
42,138.957,0.59905,0.63072,0.89157,0.99104,1,0.995,0.86245,0.51285,0.47454,0.74877,0.000848969,0.000848969,0.000848969
43,142.195,0.61163,0.65657,0.90243,0.9918,1,0.995,0.87066,0.53597,0.50471,0.75925,0.000834822,0.000834822,0.000834822
44,145.553,0.59783,0.64603,0.89601,0.99613,1,0.995,0.86601,0.4758,0.46016,0.74318,0.000820675,0.000820675,0.000820675
45,148.967,0.61575,0.63027,0.90187,0.99589,1,0.995,0.87835,0.46551,0.4468,0.73993,0.000806528,0.000806528,0.000806528
46,152.2,0.60513,0.64145,0.91749,0.99524,1,0.995,0.88077,0.4749,0.4514,0.74131,0.00079238,0.00079238,0.00079238
47,155.948,0.60996,0.62073,0.90072,0.99448,1,0.995,0.88044,0.48372,0.46083,0.7419,0.000778233,0.000778233,0.000778233
48,159.236,0.63638,0.628,0.90477,0.9945,1,0.995,0.87829,0.4819,0.46082,0.7435,0.000764086,0.000764086,0.000764086
49,162.927,0.57615,0.57221,0.88093,0.99622,1,0.995,0.88769,0.48837,0.44337,0.74799,0.000749939,0.000749939,0.000749939
50,167.015,0.58624,0.59357,0.89859,0.99641,1,0.995,0.88644,0.49782,0.44155,0.74891,0.000735792,0.000735792,0.000735792
