epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,132.349,0.57767,0.59217,0.90781,0.99337,1,0.995,0.88808,0.55373,0.51275,0.86856,0.000973861,0.000973861,0.000973861
44,135.411,0.56209,0.57033,0.89942,0.99408,1,0.995,0.91204,0.45894,0.47671,0.81615,0.000957358,0.000957358,0.000957358
45,138.324,0.57292,0.56563,0.8772,0.99433,1,0.995,0.90162,0.44872,0.46589,0.80852,0.000940855,0.000940855,0.000940855
46,141.3,0.56129,0.55389,0.87983,0.99627,1,0.995,0.8941,0.49112,0.44144,0.81822,0.000924352,0.000924352,0.000924352
47,144.328,0.54652,0.54384,0.86332,0.99648,1,0.995,0.88704,0.50303,0.44001,0.82856,0.000907848,0.000907848,0.000907848
48,147.59,0.54236,0.55985,0.89274,0.9967,1,0.995,0.88698,0.45373,0.41581,0.82195,0.000891345,0.000891345,0.000891345
49,150.888,0.51431,0.53299,0.89116,0.99587,1,0.995,0.89183,0.46359,0.41986,0.80624,0.000874842,0.000874842,0.000874842
50,154.178,0.56724,0.57081,0.87766,0.99635,1,0.995,0.88597,0.48087,0.40554,0.80116,0.000858338,0.000858338,0.000858338
51,157.365,0.5527,0.54434,0.87233,0.99717,1,0.995,0.90004,0.41057,0.3525,0.78954,0.000841835,0.000841835,0.000841835
52,160.556,0.53514,0.52871,0.88041,0.99743,1,0.995,0.90934,0.40394,0.35192,0.78588,0.000825332,0.000825332,0.000825332
53,163.804,0.52398,0.53831,0.89157,0.99708,1,0.995,0.91118,0.43332,0.37217,0.79158,0.000808828,0.000808828,0.000808828
54,167.01,0.52771,0.51905,0.88464,0.99767,1,0.995,0.93228,0.41441,0.35744,0.7949,0.000792325,0.000792325,0.000792325
55,170.145,0.53799,0.54832,0.88083,0.99763,1,0.995,0.9388,0.39126,0.35223,0.78888,0.000775822,0.000775822,0.000775822
56,173.463,0.55185,0.51443,0.90856,0.99733,1,0.995,0.92536,0.38393,0.34348,0.7839,0.000759318,0.000759318,0.000759318
57,176.575,0.49002,0.48658,0.86677,0.99731,1,0.995,0.93081,0.38796,0.3423,0.78207,0.000742815,0.000742815,0.000742815
58,179.865,0.47123,0.49595,0.8703,0.99725,1,0.995,0.92985,0.4184,0.35656,0.79528,0.000726312,0.000726312,0.000726312
59,183.093,0.50045,0.50619,0.87207,0.99729,1,0.995,0.91829,0.43123,0.34718,0.79938,0.000709809,0.000709809,0.000709809
60,186.193,0.51696,0.49493,0.8944,0.9978,1,0.995,0.92307,0.4212,0.34417,0.80089,0.000693305,0.000693305,0.000693305
61,189.301,0.49877,0.49704,0.87834,0.99817,1,0.995,0.92111,0.44933,0.35082,0.80996,0.000676802,0.000676802,0.000676802
62,192.535,0.48593,0.48799,0.86176,0.9978,1,0.995,0.91771,0.44805,0.35549,0.8044,0.000660299,0.000660299,0.000660299
63,195.579,0.5068,0.49366,0.87779,0.9975,1,0.995,0.9062,0.42181,0.34809,0.79684,0.000643795,0.000643795,0.000643795
64,198.549,0.48447,0.4595,0.8725,0.99732,1,0.995,0.93083,0.39789,0.32827,0.79246,0.000627292,0.000627292,0.000627292
65,201.503,0.47108,0.46074,0.87379,0.99737,1,0.995,0.93321,0.41639,0.33353,0.79852,0.000610789,0.000610789,0.000610789
66,204.504,0.48725,0.46601,0.87863,0.99701,1,0.995,0.90982,0.42181,0.34022,0.79359,0.000594286,0.000594286,0.000594286
67,207.559,0.45299,0.44964,0.8732,0.99715,1,0.995,0.90868,0.4293,0.34331,0.79955,0.000577782,0.000577782,0.000577782
68,210.577,0.43884,0.45105,0.86884,0.99716,1,0.995,0.92352,0.42083,0.30968,0.80343,0.000561279,0.000561279,0.000561279
69,213.59,0.45087,0.46388,0.87557,0.99735,1,0.995,0.91691,0.43145,0.30684,0.81011,0.000544776,0.000544776,0.000544776
70,216.623,0.49326,0.47248,0.88745,0.99753,1,0.995,0.91661,0.42181,0.29607,0.80605,0.000528272,0.000528272,0.000528272
71,219.787,0.48256,0.45271,0.87861,0.9978,1,0.995,0.92038,0.40982,0.31548,0.79158,0.000511769,0.000511769,0.000511769
72,222.944,0.46801,0.45592,0.87239,0.99782,1,0.995,0.91865,0.4038,0.32679,0.78634,0.000495266,0.000495266,0.000495266
73,226.093,0.46636,0.45136,0.86723,0.99727,1,0.995,0.92632,0.37268,0.31233,0.78629,0.000478762,0.000478762,0.000478762
74,229.25,0.48576,0.4633,0.87559,0.99763,1,0.995,0.92355,0.34692,0.30427,0.78339,0.000462259,0.000462259,0.000462259
75,232.374,0.49146,0.45618,0.86583,0.9979,1,0.995,0.92817,0.356,0.30935,0.7868,0.000445756,0.000445756,0.000445756
76,235.492,0.44084,0.42899,0.8578,0.99802,1,0.995,0.92688,0.38578,0.31832,0.7913,0.000429253,0.000429253,0.000429253
77,238.72,0.44776,0.43693,0.87183,0.9979,1,0.995,0.92851,0.38613,0.32231,0.79217,0.000412749,0.000412749,0.000412749
78,242.654,0.47858,0.46133,0.87048,0.99747,1,0.995,0.92085,0.37776,0.31116,0.78803,0.000396246,0.000396246,0.000396246
79,246.054,0.45988,0.44253,0.85745,0.9974,1,0.995,0.92273,0.39028,0.31634,0.79192,0.000379743,0.000379743,0.000379743
80,249.041,0.43637,0.45052,0.8766,0.99763,1,0.995,0.92534,0.39177,0.31398,0.79422,0.000363239,0.000363239,0.000363239
81,252.205,0.4444,0.42585,0.86224,0.99813,1,0.995,0.92883,0.39501,0.2987,0.7896,0.000346736,0.000346736,0.000346736
82,255.357,0.45008,0.4196,0.84989,0.99802,1,0.995,0.92564,0.3853,0.29633,0.78514,0.000330233,0.000330233,0.000330233
83,258.658,0.43075,0.4287,0.86757,0.99776,1,0.995,0.93096,0.36451,0.2947,0.77748,0.000313729,0.000313729,0.000313729
84,261.786,0.43489,0.41828,0.86935,0.99794,1,0.995,0.93114,0.37168,0.3127,0.77776,0.000297226,0.000297226,0.000297226
85,264.764,0.44154,0.42472,0.84603,0.99822,1,0.995,0.9325,0.36438,0.29997,0.77666,0.000280723,0.000280723,0.000280723
86,268.098,0.43587,0.41285,0.85221,0.99789,1,0.995,0.93878,0.33188,0.29226,0.77209,0.00026422,0.00026422,0.00026422
87,271.165,0.42186,0.41932,0.85923,0.99787,1,0.995,0.93599,0.3263,0.28528,0.76853,0.000247716,0.000247716,0.000247716
88,274.656,0.43743,0.40627,0.87314,0.99803,1,0.995,0.93311,0.33008,0.28609,0.77371,0.000231213,0.000231213,0.000231213
89,278.104,0.40174,0.38321,0.83552,0.99804,1,0.995,0.9343,0.32623,0.27821,0.77262,0.00021471,0.00021471,0.00021471
90,281.318,0.41217,0.39126,0.84797,0.99782,1,0.995,0.93636,0.32799,0.28419,0.77252,0.000198206,0.000198206,0.000198206
91,284.712,0.3696,0.3834,0.80912,0.99747,1,0.995,0.93955,0.33217,0.27517,0.77407,0.000181703,0.000181703,0.000181703
92,287.597,0.35592,0.36981,0.7987,0.99768,1,0.995,0.92441,0.34321,0.27568,0.77607,0.0001652,0.0001652,0.0001652
93,290.5,0.36387,0.37664,0.82008,0.99816,1,0.995,0.91735,0.34469,0.27977,0.7747,0.000148696,0.000148696,0.000148696
94,293.504,0.35758,0.38031,0.82654,0.99826,1,0.995,0.92405,0.34305,0.28008,0.77445,0.000132193,0.000132193,0.000132193
95,296.816,0.34764,0.37784,0.81785,0.99821,1,0.995,0.92073,0.3403,0.28017,0.77419,0.00011569,0.00011569,0.00011569
96,300.169,0.35325,0.37795,0.81968,0.99806,1,0.995,0.92745,0.34191,0.2822,0.77446,9.91865e-05,9.91865e-05,9.91865e-05
97,303.22,0.35573,0.36585,0.82133,0.99805,1,0.995,0.92882,0.34262,0.27938,0.77403,8.26832e-05,8.26832e-05,8.26832e-05
98,306.091,0.34139,0.35451,0.81017,0.99805,1,0.995,0.92466,0.34197,0.27492,0.77468,6.61799e-05,6.61799e-05,6.61799e-05
99,308.968,0.35835,0.36853,0.81886,0.99816,1,0.995,0.92148,0.33898,0.26959,0.77486,4.96766e-05,4.96766e-05,4.96766e-05
100,311.833,0.3406,0.3636,0.8005,0.99821,1,0.995,0.92257,0.33735,0.27045,0.7745,3.31733e-05,3.31733e-05,3.31733e-05
