epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2088.78,0.76282,0.506,0.91072,0.9777,1,0.99481,0.84398,0.63708,0.41843,0.88778,0.0011684,0.0011684,0.0011684
44,2139.11,0.73835,0.51169,0.91157,0.99739,1,0.995,0.84574,0.67898,0.45075,0.89663,0.0011486,0.0011486,0.0011486
45,2176.7,0.75594,0.50578,0.91239,0.99823,1,0.995,0.88715,0.58607,0.40053,0.88396,0.0011288,0.0011288,0.0011288
46,2216.43,0.75528,0.51669,0.90092,0.99054,0.98823,0.99434,0.82568,0.75837,0.4601,0.90176,0.001109,0.001109,0.001109
47,2256.16,0.73638,0.50016,0.90859,0.98845,0.99057,0.995,0.87496,0.60573,0.40851,0.88429,0.0010892,0.0010892,0.0010892
48,2296.16,0.74959,0.49432,0.91672,1,0.99995,0.995,0.87808,0.59744,0.39603,0.88731,0.0010694,0.0010694,0.0010694
49,2335.94,0.72518,0.48626,0.90903,0.99877,0.99057,0.995,0.90569,0.53642,0.37915,0.88322,0.0010496,0.0010496,0.0010496
50,2373.19,0.71273,0.48545,0.90714,0.99024,0.99057,0.99491,0.87794,0.5845,0.42335,0.88436,0.0010298,0.0010298,0.0010298
51,2412.24,0.73443,0.49363,0.91277,0.97934,1,0.99338,0.86827,0.5799,0.38876,0.88791,0.00101,0.00101,0.00101
52,2451.59,0.71941,0.4889,0.9043,0.99065,0.9993,0.99491,0.87542,0.57206,0.38218,0.89101,0.0009902,0.0009902,0.0009902
53,2489.5,0.69311,0.4676,0.89719,0.98972,0.99057,0.98925,0.89055,0.53575,0.37384,0.88116,0.0009704,0.0009704,0.0009704
54,2528.56,0.75045,0.48816,0.91027,0.97946,0.99057,0.99462,0.9215,0.46377,0.36017,0.87442,0.0009506,0.0009506,0.0009506
55,2589.91,0.70174,0.46281,0.9007,0.99915,0.99057,0.995,0.90481,0.53856,0.36792,0.88054,0.0009308,0.0009308,0.0009308
56,2642.61,0.69891,0.47206,0.9024,0.99065,0.99922,0.99491,0.87207,0.62616,0.39472,0.88571,0.000911,0.000911,0.000911
57,2689.58,0.72596,0.48126,0.89905,0.99054,0.98825,0.99453,0.92162,0.46565,0.33027,0.86956,0.0008912,0.0008912,0.0008912
58,2740.46,0.70837,0.47471,0.90428,1,0.99855,0.995,0.90228,0.50571,0.37595,0.87399,0.0008714,0.0008714,0.0008714
59,2780.16,0.70376,0.46844,0.90355,0.98966,0.99057,0.99443,0.92138,0.45394,0.33885,0.88108,0.0008516,0.0008516,0.0008516
60,2819.72,0.68767,0.46152,0.90146,0.98924,0.99057,0.98736,0.87085,0.61234,0.3785,0.89726,0.0008318,0.0008318,0.0008318
61,2860.99,0.68975,0.46068,0.9006,0.97986,0.99057,0.98653,0.91794,0.47849,0.36147,0.87652,0.000812,0.000812,0.000812
62,2905.22,0.68398,0.46191,0.89832,0.98003,0.99057,0.98843,0.86226,0.61402,0.38247,0.88195,0.0007922,0.0007922,0.0007922
63,2951.92,0.67543,0.44796,0.88776,0.98965,0.99057,0.98561,0.87025,0.58749,0.40804,0.89786,0.0007724,0.0007724,0.0007724
64,2992.33,0.6962,0.46367,0.89653,0.9893,0.99057,0.98764,0.91279,0.47916,0.3342,0.87055,0.0007526,0.0007526,0.0007526
65,3051.55,0.70339,0.47721,0.89814,0.98908,1,0.98836,0.88925,0.57602,0.36749,0.88112,0.0007328,0.0007328,0.0007328
66,3116.91,0.65518,0.44642,0.88173,0.99746,1,0.995,0.91258,0.50598,0.33987,0.87411,0.000713,0.000713,0.000713
67,3179.59,0.65712,0.44485,0.88777,0.99833,0.99057,0.995,0.90589,0.51521,0.34512,0.87604,0.0006932,0.0006932,0.0006932
68,3247.23,0.65394,0.43481,0.89347,0.99875,1,0.995,0.89006,0.50651,0.33915,0.87574,0.0006734,0.0006734,0.0006734
69,3332.89,0.63917,0.45165,0.8829,0.99065,0.99974,0.99463,0.91579,0.50733,0.34602,0.8761,0.0006536,0.0006536,0.0006536
70,3388.1,0.65228,0.44355,0.89217,0.99902,0.99057,0.995,0.90581,0.5271,0.34167,0.8759,0.0006338,0.0006338,0.0006338
71,3450.24,0.61917,0.41862,0.8869,0.98983,0.99057,0.99443,0.91965,0.46502,0.3267,0.86735,0.000614,0.000614,0.000614
72,3487.43,0.64744,0.42667,0.89159,0.98991,0.99057,0.99255,0.91684,0.49967,0.32607,0.88632,0.0005942,0.0005942,0.0005942
73,3533.28,0.62823,0.42843,0.88257,0.99826,0.99057,0.995,0.89445,0.54926,0.37279,0.8765,0.0005744,0.0005744,0.0005744
74,3578.32,0.62728,0.41606,0.88397,0.98774,0.99057,0.98698,0.89303,0.52232,0.34704,0.87625,0.0005546,0.0005546,0.0005546
75,3616.26,0.64934,0.43783,0.88956,0.98983,0.99057,0.9884,0.8646,0.6013,0.36259,0.88015,0.0005348,0.0005348,0.0005348
76,3656.32,0.61225,0.40848,0.88335,0.99925,0.99057,0.995,0.92217,0.46177,0.31857,0.86788,0.000515,0.000515,0.000515
77,3713.62,0.6344,0.41424,0.88705,0.99905,0.99057,0.995,0.92209,0.4718,0.3154,0.87005,0.0004952,0.0004952,0.0004952
78,3782.33,0.60338,0.41841,0.87524,0.9974,0.99057,0.995,0.91554,0.49903,0.33502,0.86938,0.0004754,0.0004754,0.0004754
79,3823.27,0.59972,0.40966,0.88174,1,0.99925,0.995,0.92801,0.44146,0.31407,0.86597,0.0004556,0.0004556,0.0004556
80,3865.05,0.62926,0.40707,0.88199,1,0.99947,0.995,0.9112,0.51898,0.32494,0.87085,0.0004358,0.0004358,0.0004358
81,3939.49,0.5993,0.39958,0.88001,0.99946,1,0.995,0.90895,0.52521,0.3201,0.86955,0.000416,0.000416,0.000416
82,3987.69,0.58738,0.42768,0.86584,0.99931,1,0.995,0.92566,0.47563,0.3079,0.866,0.0003962,0.0003962,0.0003962
83,4033.06,0.58889,0.39861,0.87921,0.99007,1,0.99379,0.92565,0.46337,0.31077,0.86956,0.0003764,0.0003764,0.0003764
84,4087.89,0.59119,0.39,0.87755,1,0.99812,0.995,0.91164,0.51643,0.32178,0.87179,0.0003566,0.0003566,0.0003566
85,4143.55,0.60888,0.40098,0.88367,1,0.99948,0.995,0.91196,0.50522,0.31974,0.86807,0.0003368,0.0003368,0.0003368
86,4187.68,0.61139,0.40645,0.88239,1,0.99967,0.995,0.90669,0.49562,0.30564,0.8703,0.000317,0.000317,0.000317
87,4247.98,0.56827,0.38379,0.87483,1,0.99956,0.995,0.91551,0.49004,0.30624,0.86781,0.0002972,0.0002972,0.0002972
88,4305.51,0.56771,0.38428,0.87743,1,0.99951,0.995,0.91802,0.47988,0.2972,0.86603,0.0002774,0.0002774,0.0002774
89,4359.94,0.57853,0.38163,0.88175,0.9998,1,0.995,0.91921,0.47641,0.30011,0.86983,0.0002576,0.0002576,0.0002576
90,4433.68,0.55807,0.37262,0.87149,0.99935,1,0.995,0.92789,0.46741,0.28878,0.86799,0.0002378,0.0002378,0.0002378
91,4505.21,0.48854,0.33726,0.83618,0.99921,1,0.995,0.91092,0.47445,0.30491,0.86814,0.000218,0.000218,0.000218
92,4575.37,0.47249,0.31407,0.82812,0.9994,1,0.995,0.91747,0.47334,0.29212,0.86757,0.0001982,0.0001982,0.0001982
93,4655.89,0.48528,0.3152,0.83205,0.99929,1,0.995,0.9258,0.43807,0.29518,0.86455,0.0001784,0.0001784,0.0001784
94,4712.06,0.46759,0.30883,0.83312,0.99991,1,0.995,0.91908,0.4626,0.29233,0.86784,0.0001586,0.0001586,0.0001586
95,4773.99,0.46145,0.30533,0.82712,0.99982,1,0.995,0.92206,0.46868,0.29364,0.86755,0.0001388,0.0001388,0.0001388
96,4847.42,0.45102,0.30136,0.82676,0.99949,1,0.995,0.92328,0.47008,0.28824,0.86621,0.000119,0.000119,0.000119
97,4932.81,0.45236,0.30087,0.83149,0.99914,1,0.995,0.91717,0.48869,0.29094,0.86814,9.92e-05,9.92e-05,9.92e-05
98,5018.68,0.43676,0.29241,0.82347,0.99969,1,0.995,0.91934,0.48342,0.2922,0.86698,7.94e-05,7.94e-05,7.94e-05
99,5105.66,0.43922,0.286,0.81681,0.99994,1,0.995,0.92771,0.44002,0.28204,0.86451,5.96e-05,5.96e-05,5.96e-05
100,5173.69,0.44139,0.28729,0.83384,0.99969,1,0.995,0.90895,0.49299,0.28971,0.86743,3.98e-05,3.98e-05,3.98e-05
