epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.313,1.6782,3.45278,1.35541,0.00328,0.98276,0.17037,0.07092,1.33401,3.37502,1.12975,0.00028,0.00028,0.00028
2,14.9596,1.58024,2.27437,1.20252,0.00333,1,0.33817,0.15187,1.65968,3.54283,1.38182,0.000574258,0.000574258,0.000574258
3,18.9992,1.54929,2.12542,1.19161,0.70732,0.25022,0.53571,0.27251,1.82081,3.42782,1.51391,0.000862576,0.000862576,0.000862576
4,23.0158,1.46642,1.93855,1.15915,0.56408,0.2931,0.52821,0.25662,1.46511,2.94562,1.25753,0.00114495,0.00114495,0.00114495
5,26.9498,1.45152,1.85212,1.17213,0.71238,0.65517,0.68199,0.31634,2.08199,3.07055,1.88083,0.00142139,0.00142139,0.00142139
6,32.5241,1.46431,1.79644,1.15498,0.84329,0.37129,0.49708,0.28136,1.54009,4.17381,1.2208,0.00169189,0.00169189,0.00169189
7,44.1841,1.44883,1.66203,1.18197,0.86896,0.57173,0.74435,0.36901,1.46046,3.87183,1.40565,0.0018812,0.0018812,0.0018812
8,53.4714,1.40583,1.63538,1.18137,0.64704,0.41379,0.49662,0.24959,1.50383,2.96384,1.14621,0.0018614,0.0018614,0.0018614
9,57.574,1.33308,1.64283,1.1609,0.71118,0.62069,0.65406,0.31608,1.69882,2.64892,1.50183,0.0018416,0.0018416,0.0018416
10,61.5584,1.32669,1.48286,1.13627,0.03286,0.13793,0.01313,0.00402,2.98085,8.25884,2.49829,0.0018218,0.0018218,0.0018218
11,66.1837,1.42521,1.49382,1.16058,0.08815,0.22414,0.0375,0.01203,2.99353,3.75858,2.15895,0.001802,0.001802,0.001802
12,71.0575,1.35056,1.35734,1.11649,0.57249,0.62069,0.62486,0.30705,1.58068,1.99946,1.22297,0.0017822,0.0017822,0.0017822
13,77.6607,1.33635,1.27916,1.08705,0.42381,0.7069,0.50169,0.2061,1.61931,2.35798,1.29405,0.0017624,0.0017624,0.0017624
14,82.701,1.40023,1.31132,1.1306,0.43036,0.62069,0.55369,0.28212,1.27942,1.81256,1.01416,0.0017426,0.0017426,0.0017426
15,88.5464,1.3456,1.23324,1.1096,0.87099,0.93103,0.94956,0.60538,1.10264,1.11728,0.85706,0.0017228,0.0017228,0.0017228
16,92.815,1.26044,1.21091,1.06026,0.68568,0.86207,0.87721,0.54051,1.18059,1.34209,0.94172,0.001703,0.001703,0.001703
17,97.5009,1.26263,1.14517,1.07916,0.89097,0.87931,0.94961,0.63538,1.1344,0.99699,0.8257,0.0016832,0.0016832,0.0016832
18,102.27,1.28593,1.15627,1.09791,0.81783,0.75862,0.8616,0.52821,1.28382,1.02133,0.94347,0.0016634,0.0016634,0.0016634
